,Mean,Std Dev,Min,Max,Success Rate
GA,327068.99336958444,84603.22913713308,136774.13081473627,639338.9940625586,1.0
EGW-WOA,293103.7182839647,82135.83321116364,108426.39928314231,714565.1876115543,1.0
