method,run,seed,cost
EGWWOA,4,3,192627.02267891666
EGWWOA,5,4,194409.80851390536
EGWWOA,6,5,175517.75159387823
EGWWOA,7,6,138295.69874650173
EGWWOA,8,7,243647.2900088851
EGWWOA,9,8,254913.4806981332
EGWWOA,10,9,146020.88473492218
EGWWOA,11,10,189155.80569895852
EGWWOA,12,11,179138.76323207043
EGWWOA,13,12,166270.16263344974
EGWWOA,14,13,175295.62858316937
EGWWOA,15,14,203659.2484411632
EGWWOA,16,15,164006.89360585884
EGWWOA,17,16,170089.38721956254
EGWWOA,18,17,163896.95103326277
EGWWOA,19,18,153478.2588205116
EGWWOA,20,19,156786.48031728435
EGWWOA,21,20,147339.46314466358
EGWWOA,22,21,103760.8839033825
EGWWOA,23,22,157926.1463609179
EGWWOA,24,23,157052.0904950002
EGWWOA,25,24,123306.1464031936
EGWWOA,26,25,160694.07364759137
EGWWOA,27,26,140599.67566211414
EGWWOA,28,27,117653.37079501843
EGWWOA,29,28,195385.91002355784
EGWWOA,30,29,219278.24655581205
EGWWOA,31,30,180508.16746566127
EGWWOA,32,31,145641.87882423188
EGWWOA,33,32,201679.8208639972
EGWWOA,34,33,125452.42045945454
EGWWOA,35,34,147585.55608912365
EGWWOA,36,35,147330.25630670734
EGWWOA,37,36,177570.84749253912
EGWWOA,38,37,159073.4828823073
EGWWOA,39,38,171899.51923471413
EGWWOA,40,39,196974.34049745003
EGWWOA,41,40,141242.87266939328
EGWWOA,42,41,180199.92293739968
EGWWOA,43,42,168151.53646617243
EGWWOA,44,43,120560.27755134492
EGWWOA,45,44,141370.456341239
EGWWOA,46,45,113495.48633170656
EGWWOA,47,46,140589.74260199137
EGWWOA,48,47,169867.66124022848
EGWWOA,49,48,141228.76527528724
EGWWOA,50,49,100158.93024196735
EGWWOA,51,50,183973.6349975004
EGWWOA,52,51,163839.85291189374
EGWWOA,53,52,133995.19610388283
EGWWOA,54,53,233634.45293990202
EGWWOA,55,54,158500.46639636744
EGWWOA,56,55,187220.36979585883
EGWWOA,57,56,201257.70953791583
EGWWOA,58,57,152310.4452158202
EGWWOA,59,58,212139.45564990304
EGWWOA,60,59,173926.0730667101
EGWWOA,61,60,113027.20746472146
EGWWOA,62,61,152365.05991042525
EGWWOA,63,62,169722.01027857172
EGWWOA,64,63,193575.38644835036
EGWWOA,65,64,180065.6721956055
EGWWOA,66,65,172435.13122080246
EGWWOA,67,66,155766.70546937457
EGWWOA,68,67,176122.93509504822
EGWWOA,69,68,168850.88417060775
EGWWOA,70,69,142108.6161219158
EGWWOA,71,70,153152.1222640188
EGWWOA,72,71,172474.97474274848
EGWWOA,73,72,152769.76596505387
EGWWOA,74,73,248537.98576508454
EGWWOA,75,74,167675.48780931847
EGWWOA,76,75,207130.04511773697
EGWWOA,77,76,161745.55529056463
EGWWOA,78,77,136601.90937991065
EGWWOA,79,78,137481.13991204253
EGWWOA,80,79,98128.83635875791
EGWWOA,81,80,162080.95685910244
EGWWOA,82,81,135862.98051719877
EGWWOA,83,82,188116.21422959448
EGWWOA,84,83,146799.60962096613
EGWWOA,85,84,150976.58721496302
EGWWOA,86,85,133796.4845857626
EGWWOA,87,86,221996.29206619086
EGWWOA,88,87,157581.22181525786
EGWWOA,89,88,219800.51231031402
EGWWOA,90,89,119796.6264079583
EGWWOA,91,90,139183.72651468968
EGWWOA,92,91,152551.70635694594
EGWWOA,93,92,165862.67785391174
EGWWOA,94,93,190059.87116946172
EGWWOA,95,94,192799.71844414473
EGWWOA,96,95,165276.22534869943
EGWWOA,97,96,192246.3155083492
EGWWOA,98,97,146415.35500103122
EGWWOA,99,98,189021.5991647502
EGWWOA,100,99,117134.60010906479
WOA,1,0,174691.63239953422
WOA,2,1,177512.33952220296
WOA,3,2,98582.7100224347
WOA,4,3,192354.80582010673
WOA,5,4,194065.71027332632
WOA,6,5,174021.60188519614
WOA,7,6,136151.42610085523
WOA,8,7,240697.96460543718
WOA,9,8,253264.3889078797
WOA,10,9,144783.64761939566
WOA,11,10,182282.21699065535
WOA,12,11,178785.94153940934
WOA,13,12,164053.53219588436
WOA,14,13,171182.29486260045
WOA,15,14,202441.0558017202
WOA,16,15,158784.90043763552
WOA,17,16,1133831.8749985301
WOA,18,17,158479.60260324943
WOA,19,18,143830.5293489346
WOA,20,19,156006.37195856005
WOA,21,20,142472.74425366585
WOA,22,21,101306.31068267315
WOA,23,22,153170.92212598026
WOA,24,23,156945.18149744568
WOA,25,24,121559.56157970373
WOA,26,25,158132.35615267686
WOA,27,26,137189.99636986083
WOA,28,27,114837.07864280013
WOA,29,28,193384.64979838175
WOA,30,29,217092.08197814334
WOA,31,30,179677.48861423257
WOA,32,31,148656.66292936227
WOA,33,32,201404.49410580975
WOA,34,33,122916.2065603434
WOA,35,34,142117.093890832
WOA,36,35,142853.3478851656
WOA,37,36,174288.10772506476
WOA,38,37,155100.2954463253
WOA,39,38,170618.65428617448
WOA,40,39,196302.21135198447
WOA,41,40,147893.54474240285
WOA,42,41,178229.9958865772
WOA,43,42,167908.89804983683
WOA,44,43,120021.85727316458
WOA,45,44,138593.58171986544
WOA,46,45,107210.6609862181
WOA,47,46,140101.12784541165
WOA,48,47,163731.5270038404
WOA,49,48,143039.2332922891
WOA,50,49,98414.97415896312
WOA,51,50,182294.73064493592
WOA,52,51,162572.97561806993
WOA,53,52,148200.93501851015
WOA,54,53,232541.80487144896
WOA,55,54,156773.1592161208
WOA,56,55,186539.76865764955
WOA,57,56,199303.2505954644
WOA,58,57,128559.55102229325
WOA,59,58,211086.39240014943
WOA,60,59,172099.7398827779
WOA,61,60,111174.64875078411
WOA,62,61,150506.8300820302
WOA,63,62,169021.69307705128
WOA,64,63,193649.6916734525
WOA,65,64,178988.3387749936
WOA,66,65,172052.83562501724
WOA,67,66,151458.43386121932
WOA,68,67,147886.35852455473
WOA,69,68,165973.47202901827
WOA,70,69,142113.02792102812
WOA,71,70,151082.5194211061
WOA,72,71,169447.48322563365
WOA,73,72,156862.91503609694
WOA,74,73,247547.42041714964
WOA,75,74,166643.52372808155
WOA,76,75,206051.4773886386
WOA,77,76,159281.32722164245
WOA,78,77,131209.01068777652
WOA,79,78,132970.43367305078
WOA,80,79,97086.99853381953
WOA,81,80,160431.9938601716
WOA,82,81,133702.15689354157
WOA,83,82,190183.04288390809
WOA,84,83,145790.8729443947
WOA,85,84,148447.8677362746
WOA,86,85,122333.50423550751
WOA,87,86,221263.29583160867
WOA,88,87,146749.20085630435
WOA,89,88,220347.63076180255
WOA,90,89,115617.56092403499
WOA,91,90,138196.45605576175
WOA,92,91,148041.20195292818
WOA,93,92,166312.18799432553
WOA,94,93,187971.28719850114
WOA,95,94,192462.97645094513
WOA,96,95,143323.43836980712
WOA,97,96,191667.23747226145
WOA,98,97,146692.79109768584
WOA,99,98,188065.96809170413
WOA,100,99,121538.4833925586
HS,1,0,2177637.8882620144
HS,2,1,3337965.2182810027
HS,3,2,186145.49880809922
HS,4,3,203164.04685808875
HS,5,4,202751.2202840936
HS,6,5,1356159.3951506843
HS,7,6,2313686.6352312565
HS,8,7,307040.3596267952
HS,9,8,1434855.9545621548
HS,10,9,174543.84224292956
HS,11,10,2180743.266984384
HS,12,11,271254.36542783177
HS,13,12,261376.27992870528
HS,14,13,2282002.4354953384
HS,15,14,367920.3792550092
HS,16,15,3234645.407491596
HS,17,16,3243996.626325115
HS,18,17,2218158.0273158494
HS,19,18,1152524.8602705887
HS,20,19,2191005.1995906173
HS,21,20,174604.1640614088
HS,22,21,224636.33925130533
HS,23,22,2383221.609803012
HS,24,23,190359.00940210532
HS,25,24,161825.1547547898
HS,26,25,2347237.884990638
HS,27,26,1231972.0534816587
HS,28,27,1244218.6860110313
HS,29,28,1295172.1316356827
HS,30,29,2250149.134689795
HS,31,30,1293992.802881045
HS,32,31,1153004.8834144867
HS,33,32,306106.1650722309
HS,34,33,2163622.329071176
HS,35,34,1330639.8890980969
HS,36,35,244896.99904336577
HS,37,36,3222133.85266903
HS,38,37,337824.50926509604
HS,39,38,1174653.1982462155
HS,40,39,2255356.12837166
HS,41,40,2153030.2544227233
HS,42,41,194091.40162601913
HS,43,42,1206544.7680245338
HS,44,43,177294.15534101942
HS,45,44,222560.3858929231
HS,46,45,1272662.5943105312
HS,47,46,378672.0705964262
HS,48,47,1337892.9692413306
HS,49,48,1433024.5717782308
HS,50,49,2178596.9238623157
HS,51,50,381977.8465508548
HS,52,51,419950.150233511
HS,53,52,1402409.3134841288
HS,54,53,1304724.563097476
HS,55,54,279420.23192576284
HS,56,55,257995.8987543
HS,57,56,1415659.9338334044
HS,58,57,228522.13224664956
HS,59,58,521625.14744836267
HS,60,59,1553925.2296031734
HS,61,60,144692.50581583678
HS,62,61,2179948.884938007
HS,63,62,2322058.559433245
HS,64,63,1196436.609130274
HS,65,64,1820032.5708943252
HS,66,65,194540.57339730443
HS,67,66,191465.88907895883
HS,68,67,3277358.4972208086
HS,69,68,1153195.628328162
HS,70,69,156250.66508255477
HS,71,70,1299314.1234950062
HS,72,71,1244568.077783641
HS,73,72,2162426.999768474
HS,74,73,3768567.7631095643
HS,75,74,1179967.0561987546
HS,76,75,508677.8784912898
HS,77,76,613536.0354551034
HS,78,77,3230000.360710101
