t_s,mean_best,ci_lo,ci_hi
0.000000,4326571.532430,3974218.956342,4678924.108518
0.003641,2235295.221755,1979269.288056,2491321.155453
0.007282,1703029.141174,1472714.041081,1933344.241267
0.010923,1318221.917028,1118101.561484,1518342.272571
0.014564,1119984.928192,929432.574831,1310537.281554
0.018205,885899.295198,713820.431392,1057978.159004
0.021846,751384.923966,596058.905100,906710.942833
0.025487,644141.155027,504054.646907,784227.663148
0.029128,556093.469958,429204.224112,682982.715805
0.032769,483620.195272,361123.001101,606117.389443
0.036410,432190.798678,324339.427947,540042.169408
0.040051,376895.850118,283552.488008,470239.212229
0.043692,339093.635371,249588.341680,428598.929061
0.047333,327575.304686,239996.336774,415154.272599
0.050973,316331.995069,230079.721570,402584.268567
0.054614,289493.877639,211588.969633,367398.785646
0.058255,270448.267148,199009.378308,341887.155987
0.061896,252675.083040,196624.095932,308726.070148
0.065537,248873.382749,192879.339760,304867.425738
0.069178,236553.193507,183926.827564,289179.559450
0.072819,226038.330000,176567.478180,275509.181820
0.076460,222334.730291,172995.309373,271674.151208
0.080101,219376.825124,169981.735287,268771.914961
0.083742,216968.978106,167555.921571,266382.034641
0.087383,214343.867681,165134.933430,263552.801931
0.091024,212685.593051,163479.515871,261891.670231
0.094665,211714.468110,162473.709955,260955.226265
0.098306,201583.938299,165743.212966,237424.663632
0.101947,200733.522003,164860.859631,236606.184374
0.105588,200692.405602,164818.400948,236566.410256
0.109229,200545.587239,164670.857662,236420.316817
0.112870,199907.537558,164031.047484,235784.027633
0.116511,199701.414870,163822.946083,235579.883658
0.120152,199424.501200,163542.848819,235306.153580
0.123793,199245.323141,163356.972372,235133.673910
0.127434,194847.095842,164721.834204,224972.357480
0.131075,194267.720001,164142.728264,224392.711739
0.134716,194125.617558,163998.082027,224253.153089
0.138357,193841.488946,163698.257435,223984.720457
0.141998,193395.281458,163246.477948,223544.084967
0.145639,193280.216640,163126.596237,223433.837043
0.149279,193183.847055,163029.875614,223337.818495
0.152920,185664.186525,162926.137904,208402.235147
0.156561,185547.670343,162809.641966,208285.698721
0.160202,176217.554067,165371.877449,187063.230686
0.163843,176104.898392,165259.177544,186950.619240
0.167484,174855.441560,164138.100505,185572.782614
0.171125,174511.803251,163867.368761,185156.237741
0.174766,172670.683137,163618.139076,181723.227197
0.178407,172113.823735,163044.083321,181183.564148
0.182048,172043.803131,162968.491316,181119.114946
0.185689,171795.194169,162724.594123,180865.794215
0.189330,171629.660094,162547.833333,180711.486856
0.192971,171443.515877,162407.121458,180479.910295
0.196612,170101.449253,161921.418093,178281.480414
0.200253,170046.587640,161864.357932,178228.817347
0.203894,169949.516490,161760.183031,178138.849950
0.207535,169919.973477,161732.120556,178107.826399
0.211176,169878.832060,161690.760657,178066.903462
0.214817,169379.710254,161272.794782,177486.625726
0.218458,169093.982682,161021.339107,177166.626257
0.222099,169015.198817,160943.304014,177087.093621
0.225740,168668.119383,160628.677130,176707.561636
0.229381,168540.584309,160501.032428,176580.136189
0.233022,167773.164532,160247.177393,175299.151672
0.236663,167705.049249,160178.448285,175231.650214
0.240304,167619.974160,160119.465007,175120.483313
0.243945,167173.492606,159860.400225,174486.584986
0.247585,166793.426087,159583.372562,174003.479611
0.251226,166193.016306,159120.755281,173265.277331
0.254867,166068.992486,159012.599145,173125.385828
0.258508,165755.677123,158728.913769,172782.440477
0.262149,165511.318119,158513.996879,172508.639358
0.265790,165449.213136,158445.287877,172453.138395
0.269431,165348.619533,158359.467245,172337.771821
0.273072,165226.097856,158249.521850,172202.673861
0.276713,165125.495478,158152.238732,172098.752223
0.280354,165024.628818,158057.465042,171991.792594
0.283995,164998.875824,158033.615191,171964.136456
0.287636,164931.189552,157968.732918,171893.646186
0.291277,164821.466478,157860.856301,171782.076654
0.294918,164797.210002,157837.461434,171756.958570
0.298559,164749.547880,157788.526661,171710.569099
0.302200,164745.111532,157784.110758,171706.112305
0.305841,164660.251114,157697.587925,171622.914302
0.309482,164648.926362,157685.542027,171612.310698
0.313123,164640.541787,157676.422874,171604.660701
0.316764,164627.729890,157662.698767,171592.761013
0.320405,164624.917000,157659.807388,171590.026611
0.324046,164620.755967,157655.147747,171586.364187
0.327687,164619.508398,157653.450249,171585.566546
0.331328,164607.120849,157639.099148,171575.142549
0.334969,164603.522943,157635.243444,171571.802443
0.338610,164599.759729,157630.790350,171568.729109
0.342251,164595.874940,157626.452254,171565.297625
0.345891,164595.874940,157626.452254,171565.297625
0.349532,164593.210142,157623.663362,171562.756923
0.353173,164592.893062,157623.362588,171562.423537
0.356814,164591.696280,157622.226857,171561.165704
0.360455,164590.945488,157621.513966,171560.377010
0.364096,164587.625071,157617.653763,171557.596379
0.367737,164586.098602,157615.877138,171556.320065
0.371378,164586.098602,157615.877138,171556.320065
0.375019,164586.098602,157615.877138,171556.320065
0.378660,164586.098602,157615.877138,171556.320065
0.382301,164586.098602,157615.877138,171556.320065
0.385942,164586.098602,157615.877138,171556.320065
0.389583,164586.098602,157615.877138,171556.320065
0.393224,164586.098602,157615.877138,171556.320065
0.396865,164586.098602,157615.877138,171556.320065
0.400506,164586.098602,157615.877138,171556.320065
0.404147,164586.098602,157615.877138,171556.320065
0.407788,164586.098602,157615.877138,171556.320065
0.411429,164586.098602,157615.877138,171556.320065
0.415070,164586.098602,157615.877138,171556.320065
0.418711,164586.098602,157615.877138,171556.320065
0.422352,164586.098602,157615.877138,171556.320065
0.425993,164585.722055,157615.489696,171555.954414
0.429634,164584.877826,157614.620758,171555.134894
0.433275,164584.877826,157614.620758,171555.134894
