t_s,mean_best,ci_lo,ci_hi
0.000000,4412151.609154,4009853.001348,4814450.216961
0.007865,1901986.006428,1658056.110454,2145915.902401
0.015729,1457179.869206,1252149.943812,1662209.794600
0.023594,1178495.689196,999280.119899,1357711.258493
0.031459,943645.490549,777184.904950,1110106.076149
0.039324,865599.740596,704857.011817,1026342.469375
0.047188,793480.232100,644680.196235,942280.267965
0.055053,743085.421381,594958.692424,891212.150337
0.062918,683320.740960,546968.322949,819673.158972
0.070783,672149.376029,536444.429086,807854.322972
0.078647,658601.177215,525691.015461,791511.338969
0.086512,645737.822873,512961.806505,778513.839242
0.094377,639609.123891,507536.958621,771681.289161
0.102242,626932.378458,502135.952435,751728.804482
0.110106,615667.388352,491278.132402,740056.644302
0.117971,613376.777001,488971.920445,737781.633558
0.125836,601806.103442,481087.350987,722524.855896
0.133701,587267.578523,467434.188002,707100.969043
0.141565,573817.134616,454130.997295,693503.271936
0.149430,562969.713445,443500.270681,682439.156210
0.157295,562069.404911,442501.932673,681636.877150
0.165160,560827.301483,441176.017048,680478.585918
0.173024,559291.443201,439640.137095,678942.749307
0.180889,559148.172436,439503.521109,678792.823764
0.188754,558146.274610,438492.510937,677800.038283
0.196619,557299.139003,437759.146632,676839.131374
0.204483,556169.485940,436720.702106,675618.269775
0.212348,554791.496225,435623.280084,673959.712366
0.220213,553074.762323,434218.483786,671931.040859
0.228078,552834.534070,433947.390210,671721.677930
0.235942,550819.849595,432491.492949,669148.206242
0.243807,549609.094117,431942.097698,667276.090537
0.251672,549227.230494,431520.356475,666934.104513
0.259537,548474.164828,430721.513999,666226.815656
0.267401,547882.052386,430084.695424,665679.409348
0.275266,547076.830751,429384.826377,664768.835126
0.283131,546610.726469,429041.228632,664180.224307
0.290996,546360.307030,428760.103601,663960.510458
0.298860,545708.001776,428138.829756,663277.173796
0.306725,545529.842819,427961.607439,663098.078198
0.314590,545107.924013,427529.687372,662686.160654
0.322455,544998.874689,427407.581839,662590.167540
0.330319,544850.042211,427284.845667,662415.238754
0.338184,543670.342256,426023.592089,661317.092424
0.346049,542681.423715,424945.908668,660416.938762
0.353914,541858.957133,424041.393589,659676.520677
0.361778,541634.112430,423831.173729,659437.051132
0.369643,541494.301120,423726.175114,659262.427127
0.377508,541118.205015,423360.794985,658875.615046
0.385372,540716.650646,422990.059652,658443.241641
0.393237,539294.222343,421822.523484,656765.921202
0.401102,539252.080248,421778.864457,656725.296039
0.408967,539006.786174,421504.404648,656509.167699
0.416831,538631.613241,421112.240891,656150.985592
0.424696,538556.349991,421035.028392,656077.671591
0.432561,538263.918552,420755.404297,655772.432806
0.440426,538190.765656,420679.471506,655702.059806
0.448290,538136.336672,420617.502118,655655.171226
0.456155,537729.563246,420172.952100,655286.174392
0.464020,537537.918771,419958.719673,655117.117869
0.471885,537521.084184,419942.016632,655100.151736
0.479749,537518.590756,419939.499483,655097.682028
0.487614,537279.333568,419750.289894,654808.377242
0.495479,537278.912607,419749.812178,654808.013036
0.503344,536913.888640,419335.511535,654492.265746
0.511208,536889.376979,419314.292978,654464.460981
0.519073,536881.659205,419306.166968,654457.151443
0.526938,536574.033161,418968.458620,654179.607703
0.534803,536511.852328,418914.749487,654108.955170
0.542667,536427.527550,418843.450641,654011.604459
0.550532,536420.849800,418838.007473,654003.692127
0.558397,535870.351948,418219.486946,653521.216950
0.566262,535772.437880,418116.307351,653428.568409
0.574126,535764.186808,418109.614069,653418.759547
0.581991,526500.472862,409381.769440,643619.176285
0.589856,525174.226279,407955.516846,642392.935713
0.597721,523704.639516,406385.150976,641024.128057
0.605585,523690.172465,406368.879217,641011.465714
0.613450,523669.642068,406345.917275,640993.366860
0.621315,523658.147025,406333.258908,640983.035142
0.629180,523480.928484,406134.897780,640826.959187
0.637044,523479.318572,406133.080643,640825.556500
0.644909,523275.953238,405966.776693,640585.129782
0.652774,523275.953238,405966.776693,640585.129782
0.660639,523275.953238,405966.776693,640585.129782
0.668503,523275.953238,405966.776693,640585.129782
0.676368,523275.953238,405966.776693,640585.129782
0.684233,523275.953238,405966.776693,640585.129782
0.692098,523163.573698,405840.182024,640486.965373
0.699962,523163.573698,405840.182024,640486.965373
0.707827,523163.573698,405840.182024,640486.965373
0.715692,523163.573698,405840.182024,640486.965373
0.723556,523163.573698,405840.182024,640486.965373
0.731421,523163.473999,405840.101219,640486.846778
0.739286,523163.473999,405840.101219,640486.846778
0.747151,523163.473999,405840.101219,640486.846778
0.755015,523163.473999,405840.101219,640486.846778
0.762880,523163.473999,405840.101219,640486.846778
0.770745,523163.473999,405840.101219,640486.846778
0.778610,523163.473999,405840.101219,640486.846778
0.786474,523163.473999,405840.101219,640486.846778
0.794339,523163.473999,405840.101219,640486.846778
0.802204,523163.473999,405840.101219,640486.846778
0.810069,523163.473999,405840.101219,640486.846778
0.817933,523133.587384,405816.141047,640451.033720
0.825798,522924.198289,405647.469316,640200.927262
0.833663,522924.198289,405647.469316,640200.927262
0.841528,522924.198289,405647.469316,640200.927262
0.849392,522924.198289,405647.469316,640200.927262
0.857257,522924.198289,405647.469316,640200.927262
0.865122,522924.198289,405647.469316,640200.927262
0.872987,522924.198289,405647.469316,640200.927262
0.880851,522924.198289,405647.469316,640200.927262
0.888716,522924.198289,405647.469316,640200.927262
0.896581,522924.198289,405647.469316,640200.927262
0.904446,522924.198289,405647.469316,640200.927262
0.912310,522924.198289,405647.469316,640200.927262
0.920175,522924.198289,405647.469316,640200.927262
0.928040,522924.198289,405647.469316,640200.927262
0.935905,522924.198289,405647.469316,640200.927262
