t_s,mean_best,ci_lo,ci_hi
0.000000,4230260.628970,3869676.629100,4590844.628840
0.003911,2259471.245201,2015430.016023,2503512.474379
0.007823,1361185.458876,1142845.257792,1579525.659959
0.011734,963366.949318,782336.054151,1144397.844484
0.015646,592799.847622,454376.867961,731222.827283
0.019557,438565.257460,342102.805733,535027.709186
0.023469,388438.433156,296832.715332,480044.150979
0.027380,336490.006650,250256.532488,422723.480811
0.031292,283772.635090,211514.688738,356030.581442
0.035203,274473.863168,202397.853119,346549.873217
0.039115,270809.698983,198948.623718,342670.774248
0.043026,258550.391561,188865.212531,328235.570591
0.046938,256903.772167,187182.192185,326625.352149
0.050849,255908.158068,186192.029466,325624.286671
0.054761,255440.769824,185716.029626,325165.510022
0.058672,254163.107593,184491.261177,323834.954008
0.062584,253691.506894,184017.446446,323365.567342
0.066495,242413.960830,175281.913870,309546.007789
0.070407,241826.870240,174707.603497,308946.136983
0.074318,241481.742531,174372.125577,308591.359485
0.078230,240773.849998,173707.475516,307840.224480
0.082141,239758.826230,172730.531630,306787.120831
0.086053,238381.942165,171410.870287,305353.014043
0.089964,237925.988157,170948.780120,304903.196193
0.093876,237530.348441,170541.920736,304518.776146
0.097787,237345.814116,170351.859920,304339.768311
0.101699,236648.685116,169633.844555,303663.525677
0.105610,236385.919855,169361.849084,303409.990625
0.109522,236046.282872,169006.071006,303086.494738
0.113433,235758.576934,168737.565151,302779.588716
0.117344,235087.637900,168084.218282,302091.057519
0.121256,235025.195279,168020.174823,302030.215735
0.125167,234978.643202,167971.260428,301986.025977
0.129079,234922.944990,167912.826011,301933.063969
0.132990,234856.278160,167846.015681,301866.540639
0.136902,234822.335817,167810.213099,301834.458536
0.140813,234795.802880,167782.267972,301809.337788
0.144725,234760.029951,167745.139500,301774.920403
0.148636,234708.183947,167691.796017,301724.571876
0.152548,234673.763019,167657.902989,301689.623049
0.156459,234646.922892,167630.105471,301663.740312
0.160371,234609.370435,167590.872234,301627.868637
0.164282,234571.385156,167557.342272,301585.428041
0.168194,234539.568233,167528.110521,301551.025945
0.172105,234510.013099,167497.048098,301522.978099
0.176017,234482.543195,167473.237706,301491.848683
0.179928,234460.545004,167450.921056,301470.168953
0.183840,234429.954199,167418.858815,301441.049582
0.187751,234396.526805,167384.504580,301408.549029
0.191663,234374.944919,167364.114164,301385.775674
0.195574,234338.860344,167326.200717,301351.519971
0.199486,234313.436691,167301.057650,301325.815732
0.203397,234282.871941,167269.279227,301296.464656
0.207309,234272.549167,167258.382098,301286.716237
0.211220,234259.061797,167244.244565,301273.879030
0.215132,234241.325643,167225.786294,301256.864992
0.219043,234231.959673,167216.430799,301247.488547
0.222955,234223.754266,167207.988686,301239.519846
0.226866,234216.655768,167201.208651,301232.102884
0.230778,234206.677089,167190.787398,301222.566781
0.234689,234192.428649,167176.101258,301208.756040
0.238600,234179.031491,167162.660580,301195.402403
0.242512,234172.471894,167156.106603,301188.837186
0.246423,234161.381772,167145.240147,301177.523398
0.250335,234151.723648,167135.078327,301168.368969
0.254246,234145.209523,167128.290968,301162.128077
0.258158,234136.564701,167119.699815,301153.429586
0.262069,234134.555229,167117.573838,301151.536620
0.265981,234126.541579,167109.094595,301143.988562
0.269892,234123.972997,167106.481261,301141.464733
0.273804,234118.858833,167101.111819,301136.605847
0.277715,234115.344843,167097.553001,301133.136685
0.281627,234114.928378,167097.308048,301132.548709
0.285538,234110.872277,167092.987084,301128.757470
0.289450,234110.836689,167093.010651,301128.662728
0.293361,234110.807376,167092.979853,301128.634899
0.297273,234110.689865,167092.866823,301128.512907
0.301184,234110.265825,167092.457124,301128.074526
0.305096,234104.548255,167086.482318,301122.614192
0.309007,234103.910439,167086.169579,301121.651300
0.312919,234103.910439,167086.169579,301121.651300
0.316830,234103.593220,167086.013357,301121.173083
0.320742,234103.286806,167085.831055,301120.742557
0.324653,234102.312959,167084.791781,301119.834138
0.328565,234102.292186,167084.781967,301119.802404
0.332476,234100.810969,167083.201062,301118.420876
0.336388,234100.086347,167082.480039,301117.692655
0.340299,234098.710129,167081.012507,301116.407752
0.344211,234098.604562,167080.962635,301116.246488
0.348122,234098.561186,167080.942143,301116.180229
0.352033,234098.454036,167080.889334,301116.018738
0.355945,234098.450755,167080.886092,301116.015417
0.359856,234098.450755,167080.886092,301116.015417
0.363768,234096.784876,167079.107841,301114.461910
0.367679,234096.783261,167079.106246,301114.460276
0.371591,234096.781570,167079.104470,301114.458671
0.375502,234096.777254,167079.100205,301114.454302
0.379414,234096.776299,167079.099262,301114.453336
0.383325,234096.774579,167079.097563,301114.451595
0.387237,234096.154640,167078.435765,301113.873514
0.391148,234095.608175,167077.852385,301113.363965
0.395060,234094.769117,167076.956613,301112.581621
0.398971,234094.746691,167076.932671,301112.560711
0.402883,234094.746691,167076.932671,301112.560711
0.406794,234092.236659,167074.252739,301110.220580
0.410706,234092.236659,167074.252739,301110.220580
0.414617,234092.236659,167074.252739,301110.220580
0.418529,234092.236659,167074.252739,301110.220580
0.422440,234090.740189,167072.654804,301108.825573
0.426352,234090.273324,167072.156259,301108.390388
0.430263,234086.642804,167068.278959,301105.006649
0.434175,234086.642804,167068.278959,301105.006649
0.438086,234086.642804,167068.278959,301105.006649
0.441998,234086.642804,167068.278959,301105.006649
0.445909,234086.642804,167068.278959,301105.006649
0.449821,234086.073754,167067.671161,301104.476347
0.453732,234085.762245,167067.338433,301104.186058
0.457644,234085.762245,167067.338433,301104.186058
0.461555,234085.762245,167067.338433,301104.186058
0.465467,234085.704526,167067.276781,301104.132270
