t_s,mean_best,ci_lo,ci_hi
0.000000,4372585.746974,3982432.807389,4762738.686559
0.004153,2168213.209620,1917573.770059,2418852.649181
0.008305,1533190.912014,1303371.030530,1763010.793499
0.012458,1173773.799817,976880.290697,1370667.308936
0.016610,1018536.371093,841002.216735,1196070.525452
0.020763,883610.105435,717943.645734,1049276.565136
0.024915,793124.182518,637602.511886,948645.853149
0.029068,716092.028780,565046.406625,867137.650935
0.033221,671677.240086,524725.007483,818629.472690
0.037373,618401.174119,486039.289328,750763.058911
0.041526,597230.093155,466349.319397,728110.866914
0.045678,578784.316870,448907.357077,708661.276664
0.049831,571081.983054,440831.682461,701332.283648
0.053984,511168.996154,394100.489959,628237.502350
0.058136,496602.580367,380961.482868,612243.677866
0.062289,479259.513261,367272.517283,591246.509240
0.066441,473440.097945,362401.007143,584479.188748
0.070594,467709.346003,357319.773877,578098.918130
0.074746,463126.600087,352681.969563,573571.230612
0.078899,450672.707934,341466.012083,559879.403785
0.083052,435409.084007,328256.188979,542561.979035
0.087204,432221.661513,325212.122937,539231.200088
0.091357,429469.806871,322717.549687,536222.064054
0.095509,427080.562862,320719.503649,533441.622075
0.099662,425267.964976,318925.465749,531610.464203
0.103814,424020.813312,317789.737602,530251.889021
0.107967,422394.418601,316151.006007,528637.831196
0.112120,420928.760700,314664.112688,527193.408712
0.116272,419475.921148,313456.633157,525495.209140
0.120425,417813.839113,311766.423339,523861.254887
0.124577,415161.398083,309415.726873,520907.069294
0.128730,413857.620032,308078.357873,519636.882190
0.132883,412963.870734,307124.920402,518802.821065
0.137035,411914.813305,306212.807549,517616.819060
0.141188,411049.649265,305291.873877,516807.424654
0.145340,409823.045421,304167.047526,515479.043316
0.149493,409517.407803,303902.473499,515132.342108
0.153645,408625.819174,302965.575061,514286.063288
0.157798,407511.702721,301771.135671,513252.269770
0.161951,406737.286681,301023.041522,512451.531839
0.166103,406208.925326,300489.678009,511928.172643
0.170256,405575.673257,299825.872284,511325.474231
0.174408,405178.512333,299499.969976,510857.054690
0.178561,404581.662044,298927.475678,510235.848411
0.182713,403955.380164,298291.853699,509618.906628
0.186866,403419.502322,297762.595113,509076.409531
0.191019,402927.829994,297312.725890,508542.934099
0.195171,402744.555143,297122.549373,508366.560914
0.199324,394174.947506,290080.404085,498269.490927
0.203476,393612.486586,289549.461951,497675.511221
0.207629,393017.486115,288916.908633,497118.063598
0.211781,392178.380469,288043.147986,496313.612952
0.215934,391539.329462,287528.805128,495549.853795
0.220087,387976.493094,284504.423057,491448.563132
0.224239,387555.358866,284074.741337,491035.976395
0.228392,387215.931099,283722.777080,490709.085118
0.232544,386777.058326,283250.323715,490303.792938
0.236697,386458.203718,282907.503135,490008.904302
0.240850,386082.437215,282500.449018,489664.425412
0.245002,385513.113136,281907.245331,489118.980941
0.249155,385315.876225,281694.117006,488937.635443
0.253307,385048.936081,281416.029202,488681.842960
0.257460,384865.996282,281271.766558,488460.226006
0.261612,384782.339046,281201.770845,488362.907248
0.265765,384637.225899,281071.158223,488203.293575
0.269918,384507.800300,280930.373862,488085.226738
0.274070,384496.473669,280918.132152,488074.815186
0.278223,384375.319729,280806.804959,487943.834500
0.282375,384297.836470,280722.670907,487873.002033
0.286528,384203.975525,280632.338074,487775.612976
0.290680,384203.975525,280632.338074,487775.612976
0.294833,384172.978713,280598.651351,487747.306076
0.298986,384172.978713,280598.651351,487747.306076
0.303138,384163.888622,280595.729074,487732.048170
0.307291,384086.248150,280514.857325,487657.638975
0.311443,384078.713429,280506.842696,487650.584162
0.315596,384019.649159,280443.944315,487595.354002
0.319749,383934.915730,280355.470705,487514.360755
0.323901,383903.368143,280328.219751,487478.516535
0.328054,383894.337529,280318.581326,487470.093733
0.332206,383873.338940,280306.794121,487439.883760
0.336359,383873.338940,280306.794121,487439.883760
0.340511,383873.338940,280306.794121,487439.883760
0.344664,383873.338940,280306.794121,487439.883760
0.348817,383873.338940,280306.794121,487439.883760
0.352969,383873.338940,280306.794121,487439.883760
0.357122,383869.260725,280302.540672,487435.980778
0.361274,383869.260725,280302.540672,487435.980778
0.365427,383869.260725,280302.540672,487435.980778
0.369579,383745.679615,280173.359994,487317.999235
0.373732,383745.679615,280173.359994,487317.999235
0.377885,383745.679615,280173.359994,487317.999235
0.382037,383597.908019,280018.156982,487177.659057
0.386190,383597.908019,280018.156982,487177.659057
0.390342,383597.908019,280018.156982,487177.659057
0.394495,383597.908019,280018.156982,487177.659057
0.398648,383597.908019,280018.156982,487177.659057
0.402800,383597.908019,280018.156982,487177.659057
0.406953,383597.908019,280018.156982,487177.659057
0.411105,383597.908019,280018.156982,487177.659057
0.415258,383597.908019,280018.156982,487177.659057
0.419410,383597.908019,280018.156982,487177.659057
0.423563,383597.908019,280018.156982,487177.659057
0.427716,383597.908019,280018.156982,487177.659057
0.431868,383597.908019,280018.156982,487177.659057
0.436021,383597.908019,280018.156982,487177.659057
0.440173,383597.908019,280018.156982,487177.659057
0.444326,383597.908019,280018.156982,487177.659057
0.448478,383597.908019,280018.156982,487177.659057
0.452631,383597.908019,280018.156982,487177.659057
0.456784,383597.908019,280018.156982,487177.659057
0.460936,383597.908019,280018.156982,487177.659057
0.465089,383597.908019,280018.156982,487177.659057
0.469241,383597.908019,280018.156982,487177.659057
0.473394,383597.908019,280018.156982,487177.659057
0.477546,383597.908019,280018.156982,487177.659057
0.481699,383597.908019,280018.156982,487177.659057
0.485852,383597.908019,280018.156982,487177.659057
0.490004,383597.908019,280018.156982,487177.659057
0.494157,383597.908019,280018.156982,487177.659057
