t_s,mean_best,ci_lo,ci_hi
0.000000,4415659.889795,4000494.422452,4830825.357138
0.003794,2326104.067826,2076468.858748,2575739.276904
0.007589,2143287.176598,1907815.655917,2378758.697278
0.011383,2115395.424713,1878242.456973,2352548.392453
0.015178,2099849.269331,1863934.577653,2335763.961009
0.018972,2098317.080752,1862232.973308,2334401.188195
0.022766,2087884.110316,1849602.520047,2326165.700584
0.026561,2087858.286526,1849577.766736,2326138.806317
0.030355,2087452.640462,1849206.989976,2325698.290948
0.034150,2087417.888888,1849173.658782,2325662.118994
0.037944,2086970.702399,1848730.696176,2325210.708622
0.041739,2086844.409328,1848603.524764,2325085.293891
0.045533,2086844.409328,1848603.524764,2325085.293891
0.049327,2086844.409328,1848603.524764,2325085.293891
0.053122,2086775.015859,1848517.559380,2325032.472337
0.056916,2086773.591615,1848515.938210,2325031.245019
0.060711,2086659.676967,1848368.282908,2324951.071027
0.064505,2086462.055163,1848111.647169,2324812.463158
0.068299,2086462.055163,1848111.647169,2324812.463158
0.072094,2086462.055163,1848111.647169,2324812.463158
0.075888,2086352.028709,1848005.934990,2324698.122428
0.079683,2086352.028709,1848005.934990,2324698.122428
0.083477,2086352.028709,1848005.934990,2324698.122428
0.087272,2086261.929683,1847908.213926,2324615.645441
0.091066,2086261.929683,1847908.213926,2324615.645441
0.094860,2086229.194013,1847870.914791,2324587.473235
0.098655,2086229.194013,1847870.914791,2324587.473235
0.102449,2086186.491481,1847826.514790,2324546.468172
0.106244,2086102.306447,1847721.818304,2324482.794590
0.110038,2086018.422647,1847634.382750,2324402.462544
0.113832,2085992.589107,1847605.099332,2324380.078882
0.117627,2085886.344658,1847483.575513,2324289.113802
0.121421,2085828.652506,1847425.682136,2324231.622876
0.125216,2085722.792901,1847301.215451,2324144.370351
0.129010,2085569.499414,1847109.974199,2324029.024628
0.132805,2085522.061131,1847055.842011,2323988.280252
0.136599,2085474.383467,1847003.969958,2323944.796976
0.140393,2085467.027576,1846996.858117,2323937.197035
0.144188,2085455.084968,1846985.659931,2323924.510005
0.147982,2085384.652173,1846914.872651,2323854.431694
0.151777,2085235.317507,1846767.002408,2323703.632606
0.155571,2085113.473435,1846636.649578,2323590.297293
0.159365,2084913.921597,1846462.910872,2323364.932323
0.163160,2084776.860663,1846330.382265,2323223.339060
0.166954,2084724.702992,1846275.393541,2323174.012444
0.170749,2084547.001644,1846104.124010,2322989.879279
0.174543,2084264.076814,1845782.501042,2322745.652586
0.178338,2084007.826259,1845492.359030,2322523.293487
0.182132,2083725.604266,1845203.490746,2322247.717785
0.185926,2083645.172502,1845121.067225,2322169.277779
0.189721,2083454.878309,1844936.761353,2321972.995264
0.193515,2083454.878309,1844936.761353,2321972.995264
0.197310,2081971.431066,1843534.400284,2320408.461848
0.201104,2081621.510451,1843200.213329,2320042.807574
0.204898,2081549.309039,1843127.399690,2319971.218388
0.208693,2081440.471537,1843019.089637,2319861.853437
0.212487,2081334.000670,1842923.224676,2319744.776664
0.216282,2081217.487427,1842803.561470,2319631.413384
0.220076,2081107.707269,1842692.069970,2319523.344567
0.223870,2081056.484937,1842642.922469,2319470.047405
0.227665,2080988.184482,1842569.769046,2319406.599919
0.231459,2080777.591610,1842394.277097,2319160.906124
0.235254,2080655.885145,1842274.973449,2319036.796842
0.239048,2080413.167263,1842020.566576,2318805.767951
0.242843,2080379.053842,1841988.782366,2318769.325318
0.246637,2080146.109995,1841728.751665,2318563.468325
0.250431,2079875.155531,1841448.217483,2318302.093578
0.254226,2079632.643512,1841192.435297,2318072.851727
0.258020,2079517.280413,1841068.800723,2317965.760103
0.261815,2079408.396331,1840958.922429,2317857.870232
0.265609,2079275.965433,1840807.955201,2317743.975665
0.269403,2079202.587044,1840736.749924,2317668.424164
0.273198,2079193.947752,1840728.176005,2317659.719498
0.276992,2079193.947752,1840728.176005,2317659.719498
