baseline,n_pairs,wilcoxon_Wplus,p_raw,rank_biserial_r,p_holm
GA,100,1862.0,0.02263086665981647,-0.6312871287128713,0.09052346663926587
GWO,100,1974.0,0.05815642154561645,-0.6091089108910891,0.17446926463684934
WOA,100,649.0,1.1163086794902334e-10,-0.8714851485148515,7.814160756431634e-10
HS,100,0.0,3.8965598450959084e-18,-1.0,5.844839767643863e-17
FPA,100,1335.0,4.283950081907581e-05,-0.7356435643564356,0.00021419750409537903
PSO,100,2134.0,0.17882391733984515,-0.5774257425742575,0.3172487792963068
CSO,100,1141.0,1.949001602232617e-06,-0.7740594059405941,1.1694009613395702e-05
BFO,100,0.0,3.8965598450959084e-18,-1.0,5.844839767643863e-17
FSS,100,141.0,2.4652926172896905e-16,-0.972079207920792,2.4652926172896907e-15
Mayfly,100,299.0,1.952606787793338e-14,-0.9407920792079207,1.7573461090140042e-13
PFA,100,0.0,3.8965598450959084e-18,-1.0,5.844839767643863e-17
HOA,100,0.0,3.8965598450959084e-18,-1.0,5.844839767643863e-17
APO,100,479.0,1.995289467917909e-12,-0.9051485148514852,1.5962315743343273e-11
TTA,100,1.0,4.0161556854627e-18,-0.9998019801980198,5.844839767643863e-17
CPSO,100,2115.0,0.1586243896481534,-0.5811881188118813,0.3172487792963068
