,Mean Cost,% Change vs. base
GWO only,232529.54575366084,0.0
GWO + WOA,180110.15794518433,-22.54
GWO + WOA + Lévy,160534.39585975106,-30.96
Full hybrid (+ chaos),160426.29790578413,-31.01
