t_s,mean_best,ci_lo,ci_hi
0.000000,4583795.300121,4198521.039418,4969069.560825
0.003714,2181679.024504,1925946.549239,2437411.499769
0.007427,1892234.984866,1657179.149236,2127290.820496
0.011141,1743166.444389,1515859.454792,1970473.433985
0.014854,1496556.385810,1274684.190430,1718428.581191
0.018568,1278472.222214,1082546.834741,1474397.609687
0.022281,1172110.168941,970944.918332,1373275.419550
0.025995,1042420.448061,857370.633158,1227470.262964
0.029708,923062.278446,740442.690065,1105681.866828
0.033422,827073.817878,661766.834265,992380.801491
0.037135,762716.501799,603550.739132,921882.264465
0.040849,731329.978446,578533.534460,884126.422433
0.044562,689137.557446,540296.416129,837978.698763
0.048276,659983.177416,513061.744110,806904.610721
0.051989,635199.709409,491987.763481,778411.655337
0.055703,621991.341264,479424.972897,764557.709631
0.059416,570199.727849,435067.838515,705331.617183
0.063130,540431.681321,412342.662022,668520.700620
0.066843,525251.865493,400954.539002,649549.191984
0.070557,520537.772531,396457.403292,644618.141771
0.074270,515727.518944,392020.258836,639434.779052
0.077984,499025.277363,379902.507281,618148.047445
0.081697,495800.319170,376949.118953,614651.519387
0.085411,491741.410307,373624.862263,609857.958351
0.089124,485659.945647,368303.808453,603016.082841
0.092838,479107.097290,363176.143788,595038.050792
0.096551,469046.823393,355924.409317,582169.237469
0.100265,465258.411865,352154.835385,578361.988344
0.103979,461870.075106,349171.391220,574568.758991
0.107692,450067.809525,342357.734174,557777.884876
0.111406,446685.569077,339555.507495,553815.630659
0.115119,443540.235858,336755.435545,550325.036170
0.118833,441787.311404,334931.075421,548643.547387
0.122546,440404.086389,333551.443565,547256.729214
0.126260,428690.009401,326398.983890,530981.034911
0.129973,427162.728124,324875.147240,529450.309008
0.133687,425233.684816,322955.455404,527511.914228
0.137400,424006.923559,321926.162849,526087.684269
0.141114,403026.867349,304732.942533,501320.792166
0.144827,400862.556122,302481.224685,499243.887559
0.148541,400146.261111,301898.449355,498394.072867
0.152254,398532.688510,300379.190105,496686.186915
0.155968,397757.186419,299563.757307,495950.615530
0.159681,396878.303559,298706.507893,495050.099224
0.163395,394768.352596,296715.175636,492821.529556
0.167108,393752.620596,295857.961763,491647.279430
0.170822,393153.824171,295236.633994,491071.014348
0.174535,392651.989464,294788.913968,490515.064961
0.178249,391535.380684,293708.843511,489361.917857
0.181962,380972.281831,284257.934502,477686.629159
0.185676,380621.584524,283919.392342,477323.776707
0.189389,379890.015389,283189.006693,476591.024085
0.193103,379035.516217,282314.918618,475756.113815
0.196816,378523.768256,281866.874848,475180.661664
0.200530,377445.297470,280825.749854,474064.845086
0.204244,377340.151918,280717.293398,473963.010438
0.207957,376637.616002,280232.106588,473043.125417
0.211671,376198.252008,279787.700885,472608.803132
0.215384,375815.128910,279374.868207,472255.389614
0.219098,375014.160133,278737.132178,471291.188087
0.222811,370093.717613,274876.593506,465310.841720
0.226525,364195.228817,269335.148230,459055.309404
0.230238,363625.006647,268925.609627,458324.403667
0.233952,353424.144310,268504.639342,438343.649277
0.237665,352906.235111,267956.432683,437856.037539
0.241379,352179.451945,267207.072526,437151.831364
0.245092,351835.010265,266890.108058,436779.912472
0.248806,351743.799671,266801.461269,436686.138073
0.252519,341610.024759,258174.668308,425045.381209
0.256233,341392.329566,257946.228890,424838.430242
0.259946,340929.276369,257563.523334,424295.029403
0.263660,340704.966462,257365.071415,424044.861510
0.267373,330493.574703,248960.069215,412027.080190
0.271087,330424.671681,248896.077139,411953.266223
0.274800,330302.375347,248786.027354,411818.723339
0.278514,330230.485450,248724.766777,411736.204123
0.282227,330100.514759,248589.211363,411611.818155
0.285941,329962.329261,248482.657245,411442.001276
0.289654,329724.609561,248250.956487,411198.262635
0.293368,329683.671733,248210.261302,411157.082164
0.297081,329512.826030,248034.957817,410990.694243
0.300795,319787.067646,239868.151972,399705.983319
0.304509,319769.322419,239850.325162,399688.319676
0.308222,319597.757279,239668.730813,399526.783745
0.311936,319580.683720,239651.673950,399509.693489
0.315649,319371.496234,239506.034166,399236.958302
0.319363,309300.439243,230964.160864,387636.717621
0.323076,309270.564011,230932.029633,387609.098389
0.326790,309236.876839,230896.888994,387576.864683
0.330503,309157.919056,230839.483367,387476.354744
0.334217,309092.807011,230769.831621,387415.782401
0.337930,309073.667841,230749.344886,387397.990796
0.341644,309070.882379,230746.359825,387395.404933
0.345357,308959.229893,230628.800468,387289.659317
0.349071,308956.629594,230626.159296,387287.099892
0.352784,308951.558101,230620.725834,387282.390368
0.356498,308945.897797,230614.649938,387277.145656
0.360211,308932.600931,230600.385774,387264.816088
0.363925,308931.807816,230599.533249,387264.082384
0.367638,308926.806968,230594.157096,387259.456840
0.371352,308910.195597,230576.388545,387244.002650
0.375065,308882.303749,230546.668742,387217.938756
0.378779,308881.581080,230545.897958,387217.264202
0.382492,308876.709300,230540.676149,387212.742451
0.386206,308875.858362,230539.766332,387211.950391
0.389919,308782.467436,230440.439819,387124.495053
0.393633,308780.007862,230437.804827,387122.210897
0.397346,308778.938120,230436.661073,387121.215168
0.401060,308778.234167,230435.910524,387120.557810
0.404774,308778.234167,230435.910524,387120.557810
0.408487,308777.388201,230435.005412,387119.770990
0.412201,308777.388201,230435.005412,387119.770990
0.415914,308777.388201,230435.005412,387119.770990
0.419628,308777.388201,230435.005412,387119.770990
0.423341,308777.055126,230434.650505,387119.459747
0.427055,308776.869428,230434.451577,387119.287279
0.430768,308774.819407,230432.259735,387117.379078
0.434482,308774.819407,230432.259735,387117.379078
0.438195,308774.341787,230431.750768,387116.932806
0.441909,308774.341787,230431.750768,387116.932806
