t_s,mean_best,ci_lo,ci_hi
0.000000,4446766.605572,4122986.435462,4770546.775682
0.003620,2233513.389375,1972129.165882,2494897.612869
0.007241,1793809.776252,1565667.808840,2021951.743664
0.010861,1538211.839061,1328262.324643,1748161.353479
0.014481,1247155.432366,1059591.432442,1434719.432290
0.018102,1111587.800820,936468.285416,1286707.316225
0.021722,929952.596830,765377.665297,1094527.528363
0.025342,818159.385564,662969.714215,973349.056914
0.028963,740230.386665,591530.024823,888930.748507
0.032583,641811.997100,503801.060850,779822.933349
0.036203,587107.301575,461567.572949,712647.030200
0.039824,535897.793517,430359.272328,641436.314706
0.043444,491148.338565,392771.901268,589524.775861
0.047064,475699.884765,378152.480318,573247.289211
0.050685,440862.883428,345282.529972,536443.236883
0.054305,389932.247287,301190.592383,478673.902191
0.057925,364739.230827,279873.137895,449605.323758
0.061545,344411.834167,262337.498057,426486.170278
0.065166,299826.097387,226192.313584,373459.881191
0.068786,285161.311503,213475.816567,356846.806439
0.072406,279197.315354,207682.438524,350712.192184
0.076027,258532.543498,209682.518850,307382.568145
0.079647,251415.154196,203001.515420,299828.792972
0.083267,247522.513593,199003.368602,296041.658585
0.086888,243561.494275,195084.770445,292038.218106
0.090508,240831.483872,192756.488143,288906.479601
0.094128,239286.378878,191171.900694,287400.857062
0.097749,227695.849496,193895.534792,261496.164200
0.101369,214499.136625,186846.450204,242151.823045
0.104989,212728.256655,185191.148782,240265.364529
0.108610,211176.109705,184458.310781,237893.908630
0.112230,206965.217308,180949.902775,232980.531840
0.115850,203249.532363,178266.088188,228232.976538
0.119471,198022.666351,175326.724537,220718.608165
0.123091,195661.809422,173592.799299,217730.819545
0.126711,193591.004327,171540.287217,215641.721438
0.130332,192579.265141,170545.837289,214612.692993
0.133952,182652.583845,172212.602582,193092.565108
0.137572,181858.085837,171412.696475,192303.475199
0.141193,179773.220366,169918.585338,189627.855394
0.144813,179030.476645,169139.038055,188921.915236
0.148433,176684.543741,168083.202165,185285.885316
0.152054,176518.116312,167943.369385,185092.863239
0.155674,176159.388193,167656.525735,184662.250651
0.159294,175505.626686,167124.488038,183886.765334
0.162915,175198.242444,166826.793356,183569.691532
0.166535,174811.225117,166421.154566,183201.295667
0.170155,174249.151490,165926.055528,182572.247452
0.173775,173725.984869,165429.102538,182022.867199
0.177396,171779.467223,164394.188980,179164.745466
0.181016,171307.674065,163984.083758,178631.264372
0.184636,171225.772710,163917.434192,178534.111227
0.188257,171031.870925,163730.743417,178332.998434
0.191877,170730.093635,163499.722925,177960.464345
0.195497,170663.002141,163439.502863,177886.501418
0.199118,170602.895227,163380.383069,177825.407386
0.202738,169425.098409,162212.273136,176637.923682
0.206358,169055.114646,161942.229020,176168.000271
0.209979,168929.421975,161816.120419,176042.723530
0.213599,168774.721585,161671.189710,175878.253459
0.217219,168683.563039,161581.754827,175785.371252
0.220840,168498.948928,161410.379647,175587.518210
0.224460,168147.108588,161068.972508,175225.244667
0.228080,168065.028986,160987.357410,175142.700561
0.231701,167655.100194,160559.699385,174750.501003
0.235321,167641.994833,160548.240983,174735.748682
0.238941,167609.298977,160516.534500,174702.063454
0.242562,167554.526230,160457.098967,174651.953493
0.246182,167548.622483,160451.007302,174646.237664
0.249802,167503.021286,160416.246874,174589.795697
0.253423,167195.709748,160143.745027,174247.674469
0.257043,166864.976955,159829.195086,173900.758825
0.260663,166820.321723,159784.460447,173856.182998
0.264284,166722.031926,159702.321791,173741.742060
0.267904,166520.076955,159511.058501,173529.095409
0.271524,166488.744452,159479.563885,173497.925020
0.275145,166471.185141,159455.427049,173486.943234
0.278765,166405.373965,159389.529394,173421.218537
0.282385,166345.392033,159324.869443,173365.914622
0.286005,166285.381881,159268.324774,173302.438988
0.289626,166235.583420,159226.403684,173244.763155
0.293246,166235.093153,159225.832029,173244.354277
0.296866,166172.283336,159154.610270,173189.956402
0.300487,166169.848245,159151.689585,173188.006905
0.304107,166143.883630,159123.555618,173164.211643
0.307727,166073.179600,159043.941497,173102.417703
0.311348,166060.358120,159028.414051,173092.302190
0.314968,166059.849218,159027.826575,173091.871860
0.318588,166049.380182,159014.763535,173083.996828
0.322209,166047.396754,159012.274893,173082.518615
0.325829,166007.365969,158965.472911,173049.259027
0.329449,165995.909986,158950.136514,173041.683458
0.333070,165995.909986,158950.136514,173041.683458
0.336690,165995.909986,158950.136514,173041.683458
0.340310,165948.515832,158897.727315,172999.304350
0.343931,165931.942136,158880.110881,172983.773391
0.347551,165931.942136,158880.110881,172983.773391
0.351171,165931.942136,158880.110881,172983.773391
0.354792,165931.942136,158880.110881,172983.773391
0.358412,165931.942136,158880.110881,172983.773391
0.362032,165931.942136,158880.110881,172983.773391
0.365653,165931.942136,158880.110881,172983.773391
0.369273,165931.942136,158880.110881,172983.773391
0.372893,165931.942136,158880.110881,172983.773391
0.376514,165931.942136,158880.110881,172983.773391
0.380134,165931.942136,158880.110881,172983.773391
0.383754,165931.942136,158880.110881,172983.773391
0.387375,165931.942136,158880.110881,172983.773391
0.390995,165931.942136,158880.110881,172983.773391
0.394615,165931.942136,158880.110881,172983.773391
0.398235,165931.942136,158880.110881,172983.773391
0.401856,165931.942136,158880.110881,172983.773391
0.405476,165931.942136,158880.110881,172983.773391
0.409096,165931.942136,158880.110881,172983.773391
0.412717,165931.942136,158880.110881,172983.773391
0.416337,165931.942136,158880.110881,172983.773391
0.419957,165931.942136,158880.110881,172983.773391
0.423578,165931.942136,158880.110881,172983.773391
0.427198,165931.942136,158880.110881,172983.773391
0.430818,165931.942136,158880.110881,172983.773391
